fetch_timestamp_utc,data_timestamp_utc,symbol,last_price,mark_price,index_price,open_interest,funding_rate
2026-05-13T21:01:58.919835+00:00,2026-05-13T21:00:00+00:00,DOGEUSDT,0.11336,0.11336,0.11342,1506471609,0.0001
2026-05-13T21:01:59.026713+00:00,2026-05-13T21:00:00+00:00,LINKUSDT,10.217,10.221,10.227,6434816.6,-0.00001171
2026-05-13T21:01:59.132111+00:00,2026-05-13T21:00:00+00:00,AVAXUSDT,9.776,9.780,9.786,6507535.2,-0.00000519
2026-05-13T21:01:59.235226+00:00,2026-05-13T21:00:00+00:00,BNBUSDT,672.00,672.00,672.50,148903.65,-0.0001046
2026-05-13T21:01:59.353470+00:00,2026-05-13T21:00:00+00:00,LTCUSDT,56.84,56.84,56.87,988792.2,0.00004148
2026-05-13T21:01:59.461121+00:00,2026-05-13T21:00:00+00:00,BCHUSDT,433.90,433.91,434.27,113318.08,0.00000574
2026-05-13T21:01:59.566091+00:00,2026-05-13T21:00:00+00:00,APTUSDT,1.0490,1.0495,1.0499,18035838.84,-0.00010713
2026-05-13T21:01:59.669142+00:00,2026-05-13T21:00:00+00:00,ARBUSDT,0.13288,0.13292,0.13297,263805119,0.0001
2026-05-13T21:01:59.773398+00:00,2026-05-13T21:00:00+00:00,OPUSDT,0.14666,0.14671,0.14682,118039998.6,-0.0000219
2026-05-13T21:01:59.876315+00:00,2026-05-13T21:00:00+00:00,SUIUSDT,1.20770,1.20775,1.20845,68736420,0.0001
2026-05-13T21:01:59.991034+00:00,2026-05-13T21:00:00+00:00,POLUSDT,0.09701,0.09701,0.09709,159189940,0.00005
2026-05-13T21:02:00.093623+00:00,2026-05-13T21:00:00+00:00,NEARUSDT,1.5803,1.5808,1.5808,41664024.6,0.0001
2026-05-13T21:02:00.196713+00:00,2026-05-13T21:00:00+00:00,DOTUSDT,1.3323,1.3324,1.3335,15538118.4,-0.00009972
2026-05-13T21:02:00.304868+00:00,2026-05-13T21:00:00+00:00,TRXUSDT,0.35007,0.35007,0.35036,109781184,-0.00002617
2026-05-13T22:32:57.870462+00:00,2026-05-13T22:00:00+00:00,BTCUSDT,79209.60,79209.60,79240.85,55984.417,0.00005334
2026-05-13T22:32:57.971243+00:00,2026-05-13T22:00:00+00:00,ETHUSDT,2251.61,2251.61,2252.49,883270.94,0.00004961
2026-05-13T22:32:58.071868+00:00,2026-05-13T22:00:00+00:00,SOLUSDT,90.990,90.990,91.045,7118622.7,0.0000028
2026-05-13T22:32:58.174795+00:00,2026-05-13T22:00:00+00:00,XRPUSDT,1.4212,1.4212,1.4216,173568572.8,-0.00000785
2026-05-13T22:32:58.282043+00:00,2026-05-13T22:00:00+00:00,ADAUSDT,0.2632,0.2632,0.2634,271510256,0.0001
2026-05-13T22:32:58.386357+00:00,2026-05-13T22:00:00+00:00,DOGEUSDT,0.11266,0.11266,0.11274,1469397705,0.0001
2026-05-13T22:32:58.492980+00:00,2026-05-13T22:00:00+00:00,LINKUSDT,10.160,10.162,10.168,6418810.2,0.00004014
2026-05-13T22:32:58.599883+00:00,2026-05-13T22:00:00+00:00,AVAXUSDT,9.728,9.728,9.733,6482720.6,0.00003264
2026-05-13T22:32:58.702596+00:00,2026-05-13T22:00:00+00:00,BNBUSDT,669.20,669.30,669.74,148389.59,-0.00009786
2026-05-13T22:32:58.813344+00:00,2026-05-13T22:00:00+00:00,LTCUSDT,56.73,56.73,56.76,977742.2,0.00008397
2026-05-13T22:32:58.919724+00:00,2026-05-13T22:00:00+00:00,BCHUSDT,433.10,433.20,433.49,112925.05,0.00003897
2026-05-13T22:32:59.025645+00:00,2026-05-13T22:00:00+00:00,APTUSDT,1.0410,1.0412,1.0421,17864399.09,-0.00000654
2026-05-13T22:32:59.136496+00:00,2026-05-13T22:00:00+00:00,ARBUSDT,0.13138,0.13139,0.13144,263179348.7,0.0001
2026-05-13T22:32:59.244097+00:00,2026-05-13T22:00:00+00:00,OPUSDT,0.14527,0.14530,0.14540,117819542.8,0.00004227
2026-05-13T22:32:59.349384+00:00,2026-05-13T22:00:00+00:00,SUIUSDT,1.19990,1.19990,1.20050,68843820,0.0001
2026-05-13T22:32:59.460078+00:00,2026-05-13T22:00:00+00:00,POLUSDT,0.09582,0.09582,0.09588,159163794,0.00005
2026-05-13T22:32:59.573228+00:00,2026-05-13T22:00:00+00:00,NEARUSDT,1.5669,1.5672,1.5680,41374844.4,0.0001
2026-05-13T22:32:59.679420+00:00,2026-05-13T22:00:00+00:00,DOTUSDT,1.3234,1.3234,1.3241,15434802,-0.00005396
2026-05-13T22:32:59.786743+00:00,2026-05-13T22:00:00+00:00,TRXUSDT,0.34920,0.34920,0.34947,109520892,-0.00001891
2026-05-13T23:06:05.109166+00:00,2026-05-13T23:00:00+00:00,BTCUSDT,79377.00,79377.50,79416.35,56022.765,0.00005608
2026-05-13T23:06:05.217194+00:00,2026-05-13T23:00:00+00:00,ETHUSDT,2258.72,2258.74,2259.73,883958.76,0.00005175
2026-05-13T23:06:05.337311+00:00,2026-05-13T23:00:00+00:00,SOLUSDT,91.150,91.150,91.199,7111588.5,-0.00001245
2026-05-13T23:06:05.443988+00:00,2026-05-13T23:00:00+00:00,XRPUSDT,1.4212,1.4212,1.4219,174987088.3,0.00001802
2026-05-13T23:06:05.552545+00:00,2026-05-13T23:00:00+00:00,ADAUSDT,0.2649,0.2649,0.2651,273477510,0.0001
2026-05-13T23:06:05.670110+00:00,2026-05-13T23:00:00+00:00,DOGEUSDT,0.11370,0.11370,0.11377,1495313182,0.00009636
2026-05-13T23:06:05.786224+00:00,2026-05-13T23:00:00+00:00,LINKUSDT,10.191,10.193,10.200,6419445.4,0.00002919
